timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
244236,33.11,28.04,99.26,460,31,2.06,0.75,1.82,1.04
244486,33.11,28.05,99.26,453,24,2.06,0.76,1.82,1.04
244736,33.11,28.05,99.26,449,19,2.06,0.76,1.82,1.04
244986,33.11,28.07,99.26,458,25,2.06,0.76,1.82,1.04
245236,33.11,28.08,99.26,470,24,2.06,0.75,1.82,1.04
245486,33.11,28.09,99.26,461,24,2.06,0.76,1.82,1.04
245736,33.11,28.08,99.26,452,24,2.06,0.75,1.82,1.02
245986,33.11,28.11,99.26,437,25,2.06,0.75,1.82,1.01
